Year,School Name,Suburb,Sector,Type,Latitude,Longitude,Remoteness,Remoteness Category,LGA
2020,Emmanuel College Inc. - Emmanuel Senior Campus,WARRNAMBOOL,Catholic,Secondary,-38.373613,142.481482,1,Inner Regional,Warrnambool (C)
2020,De La Salle College - Kinnoull Campus,MALVERN,Catholic,Combined,-37.855531,145.031927,0,Major Cities,Stonnington (C)
2020,Caroline Chisholm Catholic College,BRAYBROOK,Catholic,Secondary,-37.78627643,144.8496093,0,Major Cities,Maribyrnong (C)
2020,MacKillop Catholic Regional College - St Mary's Campus,WERRIBEE SOUTH,Catholic,Secondary,-37.953083,144.696836,1,Inner Regional,Wyndham (C)
2020,Berry Street School - Morwell Campus,MORWELL,Independent,Secondary,-38.235253,146.384528,1,Inner Regional,Latrobe (C) (Vic.)
2020,Mansfield Autism Statewide Services - Dookie Campus Secondary School,DOOKIE COLLEGE,Independent,Combined,-36.38429597,145.7034089,1,Inner Regional,Greater Shepparton (C)
2020,OneSchool Global Vic - Stawell Centre,STAWELL,Independent,Combined,-37.07008264,142.776112,1,Inner Regional,Northern Grampians (S)
2020,Heritage College - Officer Campus,OFFICER,Independent,Combined,-38.05435274,145.4167181,0,Major Cities,Cardinia (S)
2020,St Margaret's School - Berwick Grammar School,OFFICER,Independent,Combined,-38.05197059,145.4121756,0,Major Cities,Cardinia (S)
2020,Yesodei HaTorah College - Brighton Campus,BRIGHTON,Independent,Combined,-37.917774,145.001202,0,Major Cities,Bayside (C)
2020,Simonds Catholic College - St Brigid's VCE Campus,FITZROY NORTH,Catholic,Secondary,-37.79187419,144.9764854,0,Major Cities,Yarra (C)
2020,OneSchool Global Vic - Geelong Campus,LOVELY BANKS,Independent,Combined,-38.071167,144.337672,0,Major Cities,Greater Geelong (C)
2020,Watsonia Primary School,WATSONIA,Government,Primary,-37.70643,145.086625,0,Major Cities,Banyule (C)
2020,Indie School Wodonga,WODONGA,Independent,Secondary,-36.118028,146.889403,1,Inner Regional,Wodonga (C)
2020,Alberton Primary School,ALBERTON,Government,Primary,-38.61782097,146.6665093,1,Inner Regional,Wellington (S)
2020,Allansford and District Primary School,ALLANSFORD,Government,Primary,-38.386281,142.590393,1,Inner Regional,Warrnambool (C)
2020,Avoca Primary School,AVOCA,Government,Primary,-37.084502,143.475649,1,Inner Regional,Pyrenees (S)
2020,Avenel Primary School,AVENEL,Government,Primary,-36.901368,145.234722,1,Inner Regional,Strathbogie (S)
2020,Warrandyte Primary School,WARRANDYTE,Government,Primary,-37.742675,145.21398,0,Major Cities,Manningham (C)
2020,Belmont Primary School,BELMONT,Government,Primary,-38.170672,144.342099,0,Major Cities,Greater Geelong (C)
2020,Bacchus Marsh Primary School,BACCHUS MARSH,Government,Primary,-37.67302961,144.4431207,0,Major Cities,Moorabool (S)
