Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%),Boys to Girls Ratio
2020,44979,8045,Campbellfield Heights Primary School,Campbellfield,VIC,3061,Government,Primary,School Single Entity,Individual Reporting,http://chps5034.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,901,9,72,19,8,1,16,12.9,15,8.8,157,79,78,156.4,1,89,11,0,0.006210191
2020,46032,2435,St Elizabeth's School,Dandenong North,VIC,3175,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sedandenongnth.catholic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,Prep-6,Major Cities,1037,64,17,31,35,17,24,17.4,9,5.6,236,119,117,236,2,82,18,0,0.004131356
2020,46066,3427,St Catherine's School,Lalor,VIC,3075,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sclalorwest.catholic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,Prep-6,Major Cities,1031,61,23,30,28,19,27,22,13,8.9,315,159,156,314.4,1,68,32,0,0.003095238
2020,46571,51972,Warwick East State School,Warwick,QLD,4370,Government,Primary,School Single Entity,Individual Reporting,http://www.warwickeastss.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,Prep-6,Inner Regional,932,16,52,32,14,3,20,17.6,18,11.1,236,119,117,236,19,1,99,0,0.004131356
2020,48322,49848,Carlisle Primary School,Kewdale,WA,6105,Government,Primary,School Single Entity,Individual Reporting,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=5090,Department of Education Western Australia,https://www.education.wa.edu.au/,K-6,Major Cities,1047,68,16,25,32,28,25,18.9,18,11,315,159,156,299.4,5,65,32,3,0.003095238
2020,45033,5586,Templestowe Park Primary School,Templestowe,VIC,3106,Government,Primary,School Single Entity,Individual Reporting,http://www.templestoweparkps.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,1114,89,5,14,31,50,39,32.7,10,7.1,550,278,272,550,1,44,56,0,0.001772564
2020,48143,46719,Dianella Secondary College,Dianella,WA,6059,Government,Secondary,School Single Entity,Individual Reporting,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4036,Department of Education Western Australia,https://www.education.wa.edu.au/,7-Dec,Major Cities,934,17,58,25,14,3,42,39.9,25,19.3,550,278,272,550,6,64,36,0,0.001772564
2020,43208,23691,St Mark's Catholic College,Stanhope Gardens,NSW,2768,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.clcstanhope.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-Dec,Major Cities,1080,80,8,23,35,34,79,74.7,23,18,1020,516,504,1020,1,43,57,0,0.00095574
2020,48215,49217,Wanneroo Secondary College,Wanneroo,WA,6065,Government,Secondary,School Single Entity,Individual Reporting,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4125,Department of Education Western Australia,https://www.education.wa.edu.au/,7-Dec,Major Cities,992,43,35,34,23,8,94,88.3,40,31.3,1176,595,581,1176,4,19,78,3,0.000828939
2020,48052,14137,Bayside Christian College Hervey Bay,Urraween,QLD,4655,Independent,Combined,School Single Entity,Individual Reporting,http://education.qld.gov.au/wcis/Centre/ViewCentre.aspx?CtrCd=5579,Independent Schools Queensland,https://www.isq.qld.edu.au/,Prep-12,Inner Regional,999,46,28,39,24,9,47,43.3,29,18,469,237,232,469,7,1,99,0,0.002078443
2020,41200,7730,Boronia Park Public School,Hunters Hill,NSW,2110,Government,Primary,School Single Entity,Individual Reporting,https://boroniapk-p.schools.nsw.gov.au/,Department of Education NSW,https://education.nsw.gov.au/,K-6,Major Cities,1143,95,2,10,26,63,26,27.7,5,4,546,276,270,546,0,30,70,0,0.001785218
2020,45310,11435,Rushworth P-12 College,Rushworth,VIC,3612,Government,Combined,School Single Entity,Individual Reporting,http://www.rushworthp-12.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Inner Regional,911,11,73,20,7,0,22,19.7,15,11.4,155,78,77,155,5,8,92,1,0.006288281
2020,47930,26010,St Benedict's Primary School,Mango Hill,QLD,4509,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stbenedicts.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,Prep-6,Major Cities,1077,79,5,23,41,31,41,38,28,17.2,700,354,346,699.4,3,14,86,0,0.001392354
2020,43805,2326,Kempsey Adventist School,Kempsey,NSW,2440,Independent,Combined,School Single Entity,Individual Reporting,http://www.kas.nsw.edu.au,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Inner Regional,929,15,45,29,19,8,49,44.4,28,20,544,275,269,544,23,2,97,1,0.001791613
2020,49507,6064,Ocean View P-12 College,Taperoo,SA,5017,Government,Combined,School Single Entity,Individual Reporting,http://www.oceanview.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-12",Major Cities,930,16,53,29,15,3,58,52.4,33,25.4,621,314,307,620,19,9,91,0,0.001569409
2020,46161,15834,Bayview College,Portland,VIC,3305,Independent,Secondary,School Single Entity,Individual Reporting,http://www.bayview.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,7-Dec,Outer Regional,1015,53,24,32,26,18,28,24.8,11,7.8,232,117,115,230.6,4,34,66,0,0.00420076
2020,47286,51147,Norris Road State School,Bracken Ridge,QLD,4017,Government,Primary,School Single Entity,Individual Reporting,http://www.norrisroadss.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,Prep-6,Major Cities,1007,50,26,33,29,12,52,44.8,33,20.2,694,351,343,693.4,7,27,73,0,0.00140408
2020,44872,8006,Tullamarine Primary School,Tullamarine,VIC,3043,Government,Primary,School Single Entity,Individual Reporting,http://www.tullaps.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,996,45,36,32,22,9,21,19.2,9,5.1,307,155,152,306.2,2,41,59,0,0.003173808
2020,49131,17313,Sowilo Community High School,Kelmscott,WA,6111,Independent,Special,School Single Entity,Individual Reporting,http://www.sowilo.wa.edu.au,Association of Independent Schools of WA,https://www.ais.wa.edu.au/,7-Dec,Major Cities,955,25,49,34,13,3,7,6.2,12,10.4,76,38,38,76,4,0,95,5,0.012820513
2020,50111,16572,Ntaria School,Hermannsburg,NT,872,Government,Combined,School Single Entity,Individual Reporting,,Department of Education Northern Territory,https://education.nt.gov.au/,P-12,Very Remote,645,0,94,4,1,0,17,15.3,4,4,153,77,76,153,99,99,1,0,0.006368359
2020,49587,7205,Pimpala Primary School,Morphett Vale,SA,5162,Government,Primary,School Single Entity,Individual Reporting,http://www.pimpalaps.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,986,40,35,39,20,6,24,21.6,19,14.6,382,193,189,382,7,9,91,0,0.002550332
2020,40877,77169,St Gregory's Primary School,Queanbeyan,NSW,2620,Catholic,Primary,School Head Campus,Rolled Reporting,https://stgregsps.nsw.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,K-6,Major Cities,1046,68,11,32,38,19,56,39.7,23,8.7,688,348,340,688,3,5,95,0,0.001416006
2020,47333,47128,Golden Beach State School,Golden Beach,QLD,4551,Government,Primary,School Single Entity,Individual Reporting,http://www.goldenbeachss.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,Prep-6,Major Cities,1018,55,22,34,29,15,54,42.6,37,26.4,611,309,302,611,6,7,93,0,0.001594425
2020,45723,1203,St Patrick's School,Geelong West,VIC,3218,Catholic,Primary,School Single Entity,Individual Reporting,http://www.spgeelongwest.catholic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,Prep-6,Major Cities,1088,82,5,23,36,36,34,31,10,6.8,457,231,226,456.8,1,7,93,0,0.002131593
2020,44663,8075,Thornbury Primary School,Thornbury,VIC,3071,Government,Primary,School Single Entity,Individual Reporting,http://www.thornburyps.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,1059,73,11,21,29,40,35,28.1,19,11.1,380,192,188,379,16,19,81,0,0.002563403
