LGA,REGION,Total Persons,  Year 12 or equivalent,  Year 11 or equivalent,  Year 10 or equivalent,  Year 9 or equivalent,  Year 8 or below,  Did not go to school,  Not stated
  Albury,  Albury (C),33074,14501,3660,9321,2651,1786,221,935
  Armidale Regional,  Armidale Regional (A),16981,8760,941,4467,1257,1025,61,469
  Ballina,  Ballina (A),28498,12870,1842,9067,2346,1472,82,820
  Balranald,  Balranald (A),1455,459,187,397,164,172,15,58
  Bathurst Regional,  Bathurst Regional (A),24800,11222,1587,8125,1936,1252,94,582
  Bega Valley,  Bega Valley (A),23383,9609,2230,7275,1928,1394,53,888
  Bellingen,  Bellingen (A),8629,3742,582,2716,808,461,25,286
  Berrigan,  Berrigan (A),5759,1849,822,1676,652,495,22,241
  Blacktown,  Blacktown (C),205823,119810,10116,45678,11569,11434,2765,4446
  Bland,  Bland (A),3749,1164,255,1497,405,284,10,128
  Blayney,  Blayney (A),4670,1771,308,1710,405,310,8,167
  Blue Mountains,  Blue Mountains (C),51275,29690,2850,13555,2688,1243,132,1113
  Bogan,  Bogan (A),1696,552,115,625,189,132,3,86
  Botany Bay,  Botany Bay (C),29328,19184,1160,4915,1129,1774,536,634
  Bourke,  Bourke (A),1471,521,125,435,179,121,16,81
  Brewarrina,  Brewarrina (A),1022,274,79,334,152,135,7,48
  Broken Hill,  Broken Hill (C),12100,3152,933,4468,1515,1248,39,740
  Burwood,  Burwood (A),22688,16331,590,2579,667,1492,608,425
  Byron,  Byron (A),20160,11796,1450,4851,921,574,50,520
  Cabonne,  Cabonne (A),8526,3414,512,2977,765,602,31,225
  Camden,  Camden (A),48728,24045,3059,15359,3276,1776,255,963
  Campbellto,  Campbelltown �,98626,48519,5952,28212,7491,5046,1098,2300
  Canada Bay,  Canada Bay (A),57914,41564,1854,8149,1816,2852,764,916
  Canterbury-Bankstown,  Canterbury-Bankstown (A),213381,123002,8646,39799,10855,18385,7744,4951
  Carrathool,  Carrathool (A),1814,668,144,592,168,157,10,77
  Central Coast ,  Central Coast (C) ,219447,92206,14333,74473,19937,10580,717,7198
  Central Darling,  Central Darling (A),1129,304,98,347,167,149,3,62
  Cessnock,  Cessnock (C),35836,10438,2688,14344,4496,2558,117,1200
  Clarence Valley,  Clarence Valley (A),34918,11356,2261,13356,3864,2636,121,1324
  Cobar,  Cobar (A),2849,931,261,1030,273,227,13,113
  Coffs Harbour,  Coffs Harbour (C),48314,20250,3446,15966,4307,2699,268,1397
  Coolamon,  Coolamon (A),2699,863,178,1036,339,192,7,89
  Coonamble,  Coonamble (A),2384,757,181,776,267,268,24,106
  Cowra,  Cowra (A),8486,2609,528,3214,1021,779,35,311
  Cumberland,  Cumberland (A),132018,78160,5110,22560,6325,10760,6086,3011
  Dungog,  Dungog (A),6025,2027,389,2452,608,382,13,153
  Edward River,  Edward River (A),5871,2110,652,1736,632,450,39,258
  Eurobodalla,  Eurobodalla (A),26664,10624,1903,8898,2608,1663,68,908
  Fairfield,  Fairfield (C),126154,61080,5635,22878,7723,15323,10075,3428
  Federation,  Federation (A),8372,2693,1177,2552,873,674,24,370
  Forbes,  Forbes (A),6162,2163,451,2159,632,488,25,236
  Georges River,  Georges River (A),95152,63998,3366,15240,3979,5062,1732,1774
  Gilgandra,  Gilgandra (A),2860,856,175,1047,357,304,7,112
  Glen Innes Severn,  Glen Innes Severn (A),5781,1888,351,2112,619,573,29,212
  Goulburn Mulwaree,  Goulburn Mulwaree (A),19374,7386,1237,6749,1856,1250,119,773
  Greater Hume Shire,  Greater Hume Shire (A),6636,2401,667,2239,671,433,17,203
  Griffith,  Griffith (C),16179,6081,1119,5425,1277,1453,270,555
  Gundagai,  Gundagai (A),7668,2523,513,2847,825,651,29,289
  Gunnedah,  Gunnedah (A),7986,2715,535,2948,802,613,44,324
  Gwydir,  Gwydir (A),3541,1173,218,1207,379,375,7,180
  Hawkesbury,  Hawkesbury (C),42122,17300,2868,15512,3509,1988,170,771
  Hay,  Hay (A),1938,699,193,579,198,196,8,68
  Hilltops,  Hilltops (A),12309,4149,875,4410,1301,1000,77,514
  Hornsby,  Hornsby (A),91753,67059,3345,14412,2738,1874,628,1690
  Hunters Hill,  Hunters Hill (A),8804,6567,290,1091,254,219,51,341
  Inner West,  Inner West (A),118817,88948,4015,13076,2794,5831,1921,2224
  Inverell,  Inverell (A),10738,3619,669,3855,1171,925,39,460
  Junee,  Junee (A),3483,1174,251,1288,371,243,18,137
  Kempsey,  Kempsey (A),19056,5639,1252,7148,2449,1700,71,797
  Kiama,  Kiama (A),14576,7470,859,4401,982,521,31,308
  Ku-ring-gai,  Ku-ring-gai (A),73486,61492,2280,6370,1257,825,318,944
  Kyogle,  Kyogle (A),6098,1987,436,2319,605,510,24,225
  Lachlan,  Lachlan (A),3906,1334,264,1343,418,357,26,162
  Lake Macquarie,  Lake Macquarie (C),134305,52685,8481,48369,14002,6839,430,3501
  Lane Cove,  Lane Cove (A),23268,19577,659,2028,360,281,95,271
  Leeton,  Leeton (A),6933,2179,492,2695,681,570,38,278
  Lismore,  Lismore (C),27763,11929,1865,9330,2215,1601,98,732
  Lithgow,  Lithgow (C),13593,4277,918,5399,1451,999,46,502
  Liverpool,  Liverpool (C),121965,67412,6059,26167,6690,9046,3923,2663
  Liverpool Plains,  Liverpool Plains (A),5102,1580,357,1918,578,427,25,212
  Lockhart,  Lockhart (A),2062,687,156,778,200,157,4,81
  Maitland,  Maitland (C),49579,19013,3560,18389,4969,2436,141,1072
  Mid-Coast,  Mid-Coast (A),64100,19991,4070,24412,8050,4771,189,2609
  Mid-Western Regional,  Mid-Western Regional (A),15360,5576,1112,5549,1485,1098,51,493
  Moree Plains,  Moree Plains (A),8095,3024,614,2600,809,636,58,346
  Mosman,  Mosman (A),18561,15693,645,1538,276,129,43,235
  Murray River,  Murray River (A),8050,2751,1413,1965,899,683,31,319
  Murrumbidgee,  Murrumbidgee (A),2416,800,230,800,257,243,9,82
  Muswellbrook,  Muswellbrook (A),10081,3233,818,3932,1120,666,33,275
  Nambucca,  Nambucca (A),13248,4334,886,4853,1610,1001,50,519
  Narrabri,  Narrabri (A),8252,2921,577,2948,852,636,36,285
  Narrandera,  Narrandera (A),3747,1128,286,1322,438,324,28,223
  Narromine,  Narromine (A),4071,1448,276,1454,441,314,16,117
  Newcastle,  Newcastle (C),99194,50084,5599,28522,7886,4480,504,2126
  North Sydney,  North Sydney (A),47489,41080,1446,3430,531,356,127,522
  Northern Beaches,  Northern Beaches (A),164749,115346,7481,29493,5403,3478,678,2858
  Oberon,  Oberon (A),3371,1223,204,1294,322,224,16,90
  Orange,  Orange (C),25415,11059,1525,8176,2160,1591,137,759
  Parkes,  Parkes (A),9256,3182,632,3403,937,715,30,360
  Parramatta,  Parramatta (C),142301,104134,4707,19758,4855,4483,2126,2243
  Penrith,  Penrith (C),124769,56053,7937,41308,9470,6424,871,2703
  Port Macquarie-Hastings,  Port Macquarie-Hastings (A),54183,20735,3812,18938,5378,3038,144,2134
  Port Stephens,  Port Stephens (A),46862,17034,3394,17484,4997,2335,169,1453
  Queanbeyan-Palerang Regional,  Queanbeyan-Palerang Regional (A),35591,21171,2051,8203,1770,1498,169,734
  Randwick,  Randwick (C),83352,61712,2932,10826,2419,2854,700,1909
  Richmond Valley,  Richmond Valley (A),15093,4228,1052,5911,1797,1439,58,614
  Rockdale,  Rockdale (C),70511,45820,2688,11334,2626,4745,1435,1858
  Ryde,  Ryde (C),74271,54961,2218,9793,2258,2827,957,1266
  Shellharbour,  Shellharbour (C),44976,15978,3160,17095,4268,2881,313,1279
  Shoalhaven,  Shoalhaven (C),68617,25045,4525,24605,7568,4234,198,2446
  Singleton,  Singleton (A),14682,5307,1247,5672,1345,776,34,295
  Snowy Monaro Regional,  Snowy Monaro Regional (A),13305,6349,909,3967,948,688,62,381
  Snowy Valleys,  Snowy Valleys (A),9435,3125,795,3397,983,716,44,378
  Strathfield,  Strathfield (A),25075,19483,646,2468,588,1054,457,382
  Sutherland Shire,  Sutherland Shire (A),146521,84955,7067,39407,7456,4092,580,2957
  Sydney,  Sydney (C),124817,103313,4150,9510,2203,2532,1169,1953
  Tamworth Regional,  Tamworth Regional (A),38612,14861,2556,13547,3730,2499,168,1254
  Temora,  Temora (A),4142,1220,258,1665,500,323,16,157
  Tenterfield,  Tenterfield (A),4461,1495,340,1602,490,364,19,160
  The Hills Shire,  The Hills Shire (A),99533,69371,4012,18564,3424,2276,624,1267
  Tweed,  Tweed (A),62083,25423,4725,20870,5126,3621,180,2139
  Upper Hunter Shire,  Upper Hunter Shire (A),9134,3306,576,3278,906,646,28,394
  Upper Lachlan Shire,  Upper Lachlan Shire (A),5254,2036,340,1761,499,399,16,204
  Uralla,  Uralla (A),3990,1677,232,1323,325,273,13,151
  Wagga Wagga,  Wagga Wagga (C),39063,17460,2787,12435,3216,2044,177,947
  Walcha,  Walcha (A),2071,775,125,701,230,146,10,83
  Walgett,  Walgett (A),3896,1271,316,1220,462,425,49,147
  Warren,  Warren (A),1737,686,100,577,171,116,14,71
  Warrumbungle Shire,  Warrumbungle Shire (A),6123,2005,387,2224,707,575,17,214
  Waverley,  Waverley (A),42532,35413,1341,3558,668,672,127,749
  Weddin,  Weddin (A),2519,826,166,927,302,202,3,93
  Wentworth,  Wentworth (A),4419,1404,728,1158,491,428,21,186
